"name";"address";"zipcode";"city";"latitude";"longitude"
"Carlie Morris";"6488 Edgewater";"95589 ";"Stockton";"37.896386";"-121.320826"
"Mya Cannon";"5154 Bonfield";"85345";"Surprise";"33.715824";"-112.409443"
"Jorge Carey";"9857 Rose";"97376";"Salem";"44.946253";"-123.193137"
"Sterling Thornton";"7445 Mccormick";"93960";"Fresno";"36.792356";"-119.862216"
"Princess Hoover";"9139 Kennedy Ib";"85579";"Phoenix";"33.474512";"-120.599171"
"Karlie Holman";"9220 Henderson";"80549";"Fort Collins";"40.567917";"-105.0258"
"Kristen Joyce";"4499 Dan Ryan I57";"53557";"Madison";"43.032185";"-89.506192"
"Knox Carlson";"432 Maplewood";"06133";"Hartford";"41.77468";"-72.641265"
"Adalyn Willis";"6404 Lieb";"32359";"Tallahassee";"30.482298";"-84.303037"
"Kellen Good";"265 Minnetonka";"79163";"Amarillo";"35.341273";"-101.824629"
"Rylan Glover";"5817 Ontario Feeder Express Lanes";"35872";"Huntsville";"34.89322";"-86.681955"
"Gunner Lynn";"9725 Kercheval";"85022";"Glendale";"33.638967";"-112.102483"
"Kody Lindsay";"5483 Kennedy Keeler Av";"89276 ";"North Las Vegas";"36.116743";"-115.175567"
"Triston Kemp";"2188 James";"63380";"St. Louis";"37.91875";"-91.843522"
"Cherish Clements";"4408 Thomas Barclay";"37480";"Chattanooga";"35.160726";"-85.494544"
"Madalynn Johns";"3203 Douglas";"19372";"Philadelphia";"39.907086";"-75.183107"
"Arlo Haynes";"6995 Holland";"95340";"Modesto";"37.738533";"-121.024231"
"Cael Quinn";"135 Rice";"07199";"Newark";"40.795699";"-74.226492"
"Kimberly Cline";"834 Eisenhower Ashland Av";"60978";"Chicago";"41.881838";"-87.539932"
"Landyn Avery";"1001 Gregory";"55153";"Minneapolis";"46.54886";"-93.286074"
"Isabelle Benton";"9582 Prairie";"91938";"Chula Vista";"32.704809";"-117.196189"
"Aliana Arnold";"2847 Columbia";"89746";"Las Vegas";"36.24894";"-115.258991"
"Alison Soto";"5658 Ottawa";"60487";"Joliet";"41.568812";"-88.175698"
"Isaiah Mcclure";"4685 Dawson";"78562 ";"San Antonio";"29.451194";"-98.441811"
"Janessa Cash";"3424 Englewood";"27107";"Winston-salem";"36.163413";"-80.20164"
"Serenity Estrada";"5490 Waterloo";"06680";"Bridgeport";"41.193341";"-73.027025"
"Justin French";"7435 Clifford";"68327 ";"Omaha";"41.252967";"-95.902809"
"Geraldine Hodge";"9307 Lsd Michigan Avenue";"80647";"Colorado Springs";"38.821416";"-104.850068"
"Alfredo Roman";"8217 Dan Ryan Ib Eisenhower Ob";"85279";"Phoenix";"33.445472";"-120.382131"
"Ariella Walker";"1708 Keokuk";"95817";"San Jose";"37.357901";"-121.872998"
"Aubree Santana";"469 Granville";"95377";"Modesto";"37.707205";"-120.941847"
"Brooklynn Gutierrez";"6221 21st";"43495";"Columbus";"39.993271";"-82.960697"
"Skyler Bishop";"1260 Scottsdale";"36120 ";"Montgomery";"32.403052";"-86.215904"
"Julia Greene";"607 Oglesby";"92665";"Santa Ana";"33.854897";"-117.970964"
"Isabella Cabrera";"6942 Lumber";"94568";"Fremont";"37.539399";"-122.032267"
"Ciara Blackburn";"9501 Levee";"37084";"Clarksville";"36.568625";"-87.329322"
"Bentley Riddle";"3503 Old Town";"75141";"Dallas";"32.770429";"-96.814773"
"Janet Hale";"5948 Karlov";"07628";"Jersey City";"40.774069";"-74.193924"
"Jasiah Conrad";"943 May";"94588";"Oakland";"37.828989";"-122.26334"
"Frances Hyde";"8919 Fern";"35068";"Birmingham";"33.567623";"-86.907499"
"Ashlynn Atkinson";"9838 Academy";"45239";"Cincinnati";"39.187421";"-84.526089"
"Celeste Harvey";"8854 Shapland";"75674";"Plano";"33.094813";"-96.695836"
"Angelica Bean";"4775 Marshall";"05672";"Montpelier";"44.361919";"-72.58753"
"Omari Hoffman";"7736 Cullerton";"03109";"Manchester";"42.957675";"-71.417494"
"Jazmyn Trevino";"8123 Winthrop";"90064";"Los Angeles";"34.059075";"-118.136053"
"Rowan West";"6216 Marshall";"78047";"Laredo";"27.635928";"-99.680988"
"Zariah Stuart";"8882 Kerbs";"80514";"Fort Collins";"40.578195";"-105.120203"
"Maximus Crane";"9293 Stevenson Expy";"78927 ";"San Antonio";"29.472806";"-98.446109"
"Kason Simmons";"589 53rd";"98040";"Bellevue";"47.539069";"-122.113617"
"Keaton Buck";"7622 Princeton";"19274";"Philadelphia";"39.808252";"-75.183399"
"Jorge Herrera";"673 Belle Plaine";"43110";"Toledo";"41.654799";"-83.608075"
"Uriel Aguilar";"8073 Page";"48118";"Ann Arbor";"42.284318";"-83.644461"
"Kenna Best";"8353 Thatcher";"78418 ";"San Antonio";"29.458426";"-98.436215"
"Roland Osborne";"7469 Elbridge";"49261";"Jackson";"42.3366";"-84.42889"
"Salvador Wooten";"9524 Kennedy Washington Bl";"99176";"Anchorage";"61.391253";"-149.887475"
"Peyton Sloan";"8887 Rosedale";"37378";"Chattanooga";"35.03235";"-85.338171"
"Brennan Garcia";"3710 Lotus";"72114 ";"Little Rock";"34.854504";"-92.355098"
"Arthur Hensley";"1596 Plymouth";"98036";"Kent";"47.467407";"-122.202499"
"Baylee Swanson";"6060 Leroy";"98071";"Tacoma";"47.385465";"-122.447698"
"Memphis Humphrey";"2703 China";"46387 ";"Fort Wayne";"41.001204";"-85.270154"
"Angel Brooks";"5742 Forest";"01608";"Worcester";"42.21664";"-71.888014"
"Emma Gilmore";"7139 Stevenson 31st St";"80617";"Colorado Springs";"38.82848";"-104.993874"
"Hector Perez";"2537 Rosedale";"30614";"Atlanta";"33.725877";"-84.491243"
"Angelica Poole";"1741 Wayne";"96466";"Honolulu";"21.481655";"-157.859843"
"Neveah Lambert";"9018 Mason";"72188 ";"Little Rock";"34.758223";"-92.324072"
"Jimena Foreman";"5512 Maypole";"92832";"Anaheim";"33.857274";"-117.971664"
"Abby Fleming";"1437 Stevenson Dan Ryan Ib";"99269";"Spokane";"47.607789";"-117.539421"
"Elian Bray";"9930 Tooker";"90978";"Los Angeles";"34.095283";"-118.147394"
"Lucia Austin";"912 Wacker";"53503";"Milwaukee";"43.160696";"-87.831014"
"Anika Berg";"853 Bonfield";"36109 ";"Montgomery";"32.364086";"-86.261184"
"Yaritza Morris";"7313 Prescott";"94550";"Fremont";"37.602771";"-121.91849"
